01 9 2009 john 3.4 12.5 6
02 9 2009 tom 4.2 2.3 5.6 
03 9 2009 dylan 5.3 5.6 8.9
04 9 2009 tom  3.4 12.5 6
05 9 2009 john 4.2 2.3 5.6 
06 9 2009 john 3.4 12.5 6
07 9 2009 dylan 4.2 2.3 5.6 
08 9 2009 tom 4.2 2.3 5.6 
09 9 2009 dylan 3.4 12.5 6
10 9 2009 john 4.2 2.3 5.6 
11 9 2009 tom 4.2 2.3 5.6 
12 9 2009 john  3.4 12.5 6
13 9 2009 tom 4.2 2.3 5.6 
14 9 2009 john 5.3 5.6 8.9 
15 9 2009 dylan 4.2 2.3 5.6 
16 9 2009 dylan 5.3 5.6 8.9 
17 9 2009 tom 4.2 2.3 5.6 
18 9 2009 john 4.2 2.3 5.6 
19 9 2009 dylan 3.4 12.5 6
20 9 2009 tom 4.2 2.3 5.6 
21 9 2009 dylan 4.2 2.3 5.6 
22 9 2009 tom 4.2 2.3 5.6 
23 9 2009 john 5.3 5.6 8.9 
24 9 2009 tom 4.2 2.3 5.6 
25 9 2009 dylan 4.2 2.3 5.6 
26 9 2009 john 3.4 12.5 6
27 9 2009 tom 4.2 2.3 5.6 
28 9 2009 dylan 5.3 5.6 8.9 
29 9 2009 tom 4.2 2.3 5.6 
30 9 2009 dylan 1.0 12.5 6
